type,PC1,PC2,quality
red,13.61182208,-2.029134559,5
red,-21.6253021,4.53983385,5
red,-6.77732376,-2.427654624,5
red,-13.04373346,-1.84197172,6
red,7.323360535,-1.36741287,5
red,-11.65629543,-3.51368947,5
red,25.45551757,4.678981342,7
red,29.66852638,-0.547647298,7
red,-54.10845193,-10.7649637,5
red,-17.52534657,-4.780037987,5
red,-11.88117422,-2.479294307,5
red,18.92701066,-2.921266801,5
red,-103.6084885,14.09590439,5
red,-106.3238178,12.47496235,5
red,-58.91555538,6.551202701,7
red,-8.94237099,-1.898211593,5
red,19.5468472,-5.830156377,4
red,-9.160014419,-0.919140533,6
red,-15.63953352,9.917606846,6
red,-25.10045511,1.729855525,5
red,10.90317855,-3.662148381,5
red,-18.18034109,-11.10181079,5
red,5.597142339,6.460184163,6
red,24.35067204,0.356481353,5
red,37.57998844,-3.920397554,5
red,11.98835718,0.690851595,5
red,31.8386417,-1.089454199,6
red,-34.5552365,-6.468074667,5
red,8.316836868,8.094789821,6
red,-64.38947128,-15.12758645,5
red,-40.54896277,15.7926485,6
red,-2.455884764,-3.473581491,5
red,30.5011222,-4.43570922,6
red,33.89397336,-5.739619546,6
red,17.09216777,0.772696418,7
red,29.11593068,-2.668500456,4
red,-38.38476396,-12.41663004,5
red,0.603130369,1.218122958,4
red,33.78970215,-0.640753018,6
red,24.79117805,-1.617586668,5
red,37.36033976,-2.926135353,5
red,-16.00801688,-11.50891759,4
red,-66.8782957,-8.506222204,5
red,10.47772505,-1.727631157,5
red,36.38111621,-3.138139814,5
red,-47.1555064,-14.35369655,5
red,25.86722476,-6.532845554,5
red,32.80398316,-0.852945501,6
red,34.21145215,-2.590765793,6
red,-73.48115869,-1.783744708,5
red,-29.20496156,11.07047795,6
red,-0.153884519,9.275173339,5
red,38.55906137,-3.754986452,5
red,-69.01713767,19.71007669,5
red,-7.206015971,-0.471863256,5
red,2.319040918,-6.558553262,6
red,-5.681884301,1.876956995,5
red,-64.49113428,-10.02867674,5
red,12.42146033,-1.269147229,7
red,-6.349312412,-4.36369108,5
red,37.56402045,-3.878967968,5
red,8.73436317,-3.105722513,5
red,33.24765377,-2.789801407,5
red,-20.08274569,6.900035594,5
red,28.91562044,-1.729517582,6
red,19.58959655,3.375466914,6
red,-48.22246988,-9.511189717,5
red,-46.48287268,-8.105754226,5
red,4.825211051,-3.987582337,4
red,-37.88441086,3.982957595,5
red,6.242734974,-5.716451353,5
red,16.87393193,1.793516585,6
red,-31.52364464,-10.9210835,5
red,-72.82773316,-4.716600606,4
red,33.88052633,-5.731253829,5
red,-20.97726636,1.601415709,5
red,-26.62623948,-0.659571653,5
red,-4.064486661,-0.803780868,5
red,-14.25933022,-0.966480057,6
red,6.031525249,4.512138667,5
red,-87.9195359,-15.19965547,6
red,16.97457475,-3.340659487,5
red,-80.18874547,0.81312048,5
red,24.01810209,-2.804851694,5
red,-96.56346018,5.426538305,5
red,-84.77638216,-15.53169331,5
red,-42.64538543,16.35511655,4
red,-57.98360709,-11.54498684,6
red,24.99512963,-2.555973961,5
red,27.04612745,-7.253013815,5
red,38.33769526,-2.721920454,5
red,12.20646025,-0.313493461,6
red,-2.003721948,-5.478327276,6
red,25.9843023,-2.372465418,6
red,-16.87453076,-7.738176267,5
red,12.94556961,-8.311855436,5
red,-22.06911767,-2.735990568,5
red,-16.55027933,-4.553123901,5
red,-32.81394386,-5.096981057,6
red,-108.1841583,-2.258486832,5
red,0.705553405,-3.857417555,5
red,-58.64518122,-17.959706,5
red,-62.21995007,-15.67619092,5
red,-0.457902326,6.07514338,6
red,-14.14464554,-6.126391802,6
red,7.761838452,-3.331255839,6
red,20.33272853,-4.652452237,6
red,-8.501276981,-3.840152611,6
red,-42.46571827,-3.114517607,6
red,-39.88390206,-14.84007552,5
red,35.83261383,-5.32077319,5
red,13.6102651,-2.037912193,5
red,-54.93716645,-6.900267429,5
red,-44.50556558,1.5112626,5
red,32.9213834,-5.96575703,7
red,29.32841276,-3.656570038,5
red,-88.12459293,-5.002234924,5
red,-51.14208553,-10.05787417,5
red,20.1349879,5.570176353,6
red,18.06791175,0.994493454,6
red,-15.77583159,-3.404916115,5
red,-3.744069844,-6.896260273,5
red,2.436604711,-2.440919656,5
red,-56.58045331,-13.40097782,5
red,-59.9393552,-12.09417972,5
red,-18.12928564,7.468449473,6
red,28.99903157,-6.805177685,5
red,-95.38819312,-4.558337943,5
red,-47.1347392,-5.127738168,5
red,-38.90274827,-14.62736356,5
red,17.30214207,-0.16867072,6
red,4.827817048,-3.962866252,6
red,37.3661478,-2.925233047,6
red,-25.08540434,10.90803125,4
red,-52.86719697,-2.334053766,5
red,-83.0528339,-4.850740444,5
red,-81.86124082,-5.611915344,5
red,25.11024649,1.534171734,5
red,-38.677087,-6.367308215,6
red,28.14494075,-2.925794935,5
red,27.71778693,-0.981247545,4
red,15.25896222,4.472161457,6
red,-76.7663223,3.688797334,5
red,-76.55101974,2.714317797,5
red,-47.57356311,-12.44475076,5
red,-53.32060797,-9.580180195,5
red,4.5084087,2.102585515,4
red,3.848207921,-4.151724847,6
red,-15.56604186,-4.363868848,5
red,40.50854985,-3.287796461,4
red,30.31285759,-3.485263209,6
red,3.017866522,8.971218028,6
red,13.49487955,-6.145637754,5
red,-2.75558332,2.565244633,5
red,10.35563237,-5.803281539,6
red,28.13758053,-2.909283329,5
red,6.019274751,-4.753835203,5
red,-63.17804841,-6.694950925,5
red,4.71757773,1.136684522,5
red,-16.66380169,-8.685245497,5
red,-13.09042531,-10.96624944,6
red,-39.40717798,1.616616696,5
red,-19.26091784,-6.201245022,5
red,21.85219048,-2.260943175,5
red,-93.68709647,-21.57671034,5
red,-95.09293785,-19.8397017,5
red,-79.35931398,-12.28218424,5
red,-3.189719402,4.534883172,6
red,-77.32212353,-16.91196845,5
red,20.33192228,-4.64340842,5
red,-73.16385693,-7.843446025,5
red,-7.754770116,-2.625452585,5
red,20.25977884,0.372203205,6
red,-44.41509472,-12.67361873,7
red,16.33514293,-0.368392132,4
red,23.82988829,-1.869258924,7
red,-100.7988095,1.40045008,5
red,-2.11097614,-0.361435616,5
red,7.652623245,1.780247017,5
red,10.03579818,0.257870416,6
red,19.93581804,-2.787370706,7
red,-73.59301526,-5.893077012,5
red,-47.46595422,-8.320690735,5
red,29.14639161,-2.770783406,7
red,29.58252319,-4.668812506,6
red,-13.51574009,-9.028874061,6
red,33.48401075,-3.881257455,6
red,-20.30975267,7.892573107,5
red,6.992013323,-4.512614302,6
red,-74.5968842,-6.056855582,5
red,-1.448883538,-3.308947912,5
red,6.775631039,-3.553920895,5
red,4.064226012,-5.154369533,5
red,-96.60301644,-13.00146796,5
red,-12.61915767,5.491280966,6
red,-24.57239931,-5.32150138,5
red,38.33927894,-2.712453184,5
red,20.12620013,-3.685745561,6
red,-7.743925217,-2.649006714,4
red,-18.57515138,9.317937985,6
red,-35.71784921,3.44989244,6
red,24.78985336,-1.642791344,5
red,10.89952286,-3.61421928,5
red,-58.40991837,-9.616837825,7
red,-1.243433746,-4.285132698,6
red,-11.32985854,-0.374417114,6
red,11.54100658,-6.602092065,6
red,9.056660946,0.037623244,6
red,7.866408138,0.801625859,6
red,-12.43123368,-13.94538701,5
red,24.48723071,-4.83910079,6
red,-63.2785946,-1.565697191,6
red,23.63206467,-1.022651465,7
red,25.43087874,-4.534105852,6
red,-4.065539567,-0.796723113,5
red,-24.47205636,-10.43501964,5
red,9.165376351,-5.058954499,6
red,9.632886482,2.139106824,6
red,12.53893486,2.86545394,6
red,27.61597498,-5.151683276,5
red,-36.52012962,-16.14847522,5
red,-70.69108001,-14.46211582,5
red,35.41696288,-3.416298028,5
red,-8.094407366,-5.768909298,5
red,3.517419563,-7.333084365,5
red,13.95980995,1.076225935,7
red,1.368411832,2.425110273,5
red,-18.83187385,-8.142079613,4
red,12.85947749,-3.225967759,5
red,-3.613849826,6.446348955,5
red,21.77307498,-6.470304211,5
red,38.15523407,-1.834642061,7
red,-15.98503553,6.804339205,4
red,9.833876721,1.275121458,8
red,21.29601886,-4.411856854,6
red,25.87032729,-6.567551468,6
red,-16.2008274,7.800617944,6
red,-17.94313066,-2.897144373,5
red,9.922375822,-3.88630515,5
red,-48.46158182,0.706318108,5
red,35.41095326,-3.368611416,8
red,1.118097894,-5.802243377,7
red,29.34355284,-3.766470573,6
red,38.33079128,-2.718814623,7
red,-5.167007642,-5.143352473,5
red,-27.0311224,10.47191469,5
red,-4.015424974,8.323443038,6
red,-8.8156121,11.47233346,6
red,-2.9610171,3.522413491,7
red,-53.60592527,5.594346538,5
red,30.33885993,-3.532135096,5
red,-1.548237216,1.74368332,6
red,32.47748757,-3.992557446,6
red,-6.208582684,-0.380884517,6
red,21.7531234,-6.453087793,5
red,-24.75318353,4.810334091,5
red,19.13848255,-3.872076728,5
red,17.82943494,-7.230196418,5
red,15.23040968,-4.72761949,5
red,1.914624612,4.625649416,6
red,33.05532169,-1.921002982,6
red,19.25940426,0.229391883,5
red,27.60009714,-5.09127659,5
red,-41.28608716,-13.12282277,5
red,23.48689989,-5.038673481,6
red,-5.059785069,-10.23961509,5
red,34.2308997,-2.669911581,6
red,36.39900328,-3.216106238,6
red,17.95039267,-3.121332348,6
red,-56.57975665,-13.40528845,6
red,-50.60379692,-8.01366758,6
red,-89.10555589,-5.224498927,5
red,-26.71705147,4.46751405,5
red,-6.873569734,2.702511826,6
red,-48.61321957,10.84706685,5
red,-29.5242832,7.886570991,6
red,-12.93470041,2.338942207,7
red,-41.15425716,0.20798854,5
red,30.30989708,-3.478237243,5
red,-29.62430638,12.95376315,6
red,-2.502845964,-3.538096756,6
red,34.24155771,-2.665222545,7
red,35.41889827,-3.392982524,5
red,27.41280407,-4.239203766,6
red,33.04484615,-1.919198133,5
red,7.019959238,-4.524679532,6
red,-66.66806159,-9.480744787,6
red,2.786057728,0.702315482,5
red,8.428738224,2.992429381,7
red,27.19925247,-3.19154623,7
red,32.29401942,-3.028354979,6
red,-13.69495366,10.38875598,5
red,-53.4846866,0.512031929,6
red,18.30799243,-0.082114323,7
red,26.54378318,-0.315823634,6
red,30.55121154,-4.485686896,6
red,34.24124167,-2.680903283,6
red,16.66898175,-6.558351606,6
red,-20.94328366,20.06107065,5
red,12.32974601,3.89088721,7
red,33.2863003,-2.923627168,6
red,1.042471518,-0.741762813,6
red,19.47497328,-0.773008118,6
red,12.33714276,3.766320486,6
red,21.42802349,-0.342955577,6
red,28.90182387,-1.738172636,5
red,-30.92395812,0.367042609,5
red,-120.6441205,-1.342772088,6
red,14.28923014,4.324552406,6
red,-10.74106749,10.96403842,5
red,18.30404595,-0.009288709,7
red,24.59139942,-0.719964367,7
red,7.018040604,-4.617073431,6
red,-32.92645863,-9.226960749,5
red,-4.158719696,4.275814082,6
red,11.78244013,-7.645007963,5
red,33.27483231,-2.925568849,5
red,6.663178081,-7.748999658,7
red,27.18573636,-3.155008109,6
red,23.38579697,0.051250576,5
red,-27.27667239,-7.002564787,5
red,30.33635795,-3.474353561,7
red,-19.87180712,15.18350182,5
red,22.40113046,-0.116290797,6
red,-1.313894638,10.01271109,6
red,-23.71514002,-9.228616734,5
red,2.02414412,-9.823548972,6
red,33.26035737,-2.870737789,7
red,-0.778258032,2.922383294,6
red,24.46654021,-4.77431137,6
red,-14.56402921,5.072355196,6
red,20.45181632,-0.543814267,6
red,3.564711969,1.766337382,6
red,-8.500765574,5.375310596,5
red,10.68016251,-2.667984461,6
red,-2.640234883,6.663047068,6
red,4.5156784,2.090078116,6
red,-7.522019004,5.587517954,6
red,-2.099613276,-0.411576697,7
red,-39.31853546,-12.57942411,8
red,22.51123776,-5.235353796,5
red,-46.38366734,-13.22395877,5
red,23.50629361,-5.083983735,5
red,10.59792249,-6.834790011,7
red,-86.58408202,34.31091524,5
red,-1.437689497,-3.368047264,6
red,6.233808268,-5.730639182,5
red,7.78293374,5.908689741,6
red,-17.37526172,-0.758896218,6
red,7.014980373,-4.580630931,6
red,19.58038616,3.373073718,5
red,22.41676016,-0.114742123,6
red,19.91938518,-2.722169031,6
red,17.32972633,-0.269808898,7
red,32.2799758,-3.070919668,6
red,-4.252522732,9.289636217,4
red,-40.38849251,1.399569714,6
red,-31.92971338,0.188708461,5
red,-29.24158439,-7.368133005,5
red,29.32591544,-3.68594133,7
red,-75.11612865,-8.290568896,5
red,-88.37408654,-4.018706798,5
red,28.38982388,-3.936642849,6
red,-79.21690789,1.092477931,5
red,28.17517124,-3.007560681,6
red,-8.911451023,16.57307767,5
red,-23.75104167,14.29307101,7
red,-4.564328087,15.52118309,7
red,-12.62727077,-3.702125527,5
red,24.47930103,-4.804370643,7
red,-1.774001149,2.820807085,6
red,16.66021377,-6.510134616,6
red,17.96194407,-3.16369864,5
red,12.23863365,-0.395783644,6
red,-19.78922401,0.839391022,5
red,23.20735643,1.047745886,6
red,30.33711425,-3.574738448,5
red,-8.274472712,4.354047001,6
red,-19.52977281,18.30462164,6
red,26.42816557,-4.38085776,6
red,-1.152210736,-9.371271451,5
red,19.5997523,-5.943819354,8
red,21.3442515,-4.500503787,6
red,5.942839787,-8.993972956,7
red,28.28289105,1.173773358,7
red,21.74826144,-6.291269407,7
red,17.63179372,-6.301018038,6
red,-27.76652379,9.228986682,5
red,32.28593776,-3.054865422,5
red,21.3191665,-4.444005098,6
red,11.37278585,3.536963161,6
red,21.85847466,-2.289483924,6
red,11.13204246,4.610207947,6
red,26.64251261,-5.342775492,7
red,-20.75256477,0.667675737,5
red,29.35744757,-3.699679199,8
red,26.63188714,-5.324959186,5
red,-20.52651121,8.842181586,5
red,1.150957651,-5.899228624,3
red,23.72824023,3.253815872,6
red,29.333783,-3.703419858,5
red,22.64713522,-1.112679682,5
red,-82.17038878,-8.815912053,5
red,33.4767063,-3.893588042,6
red,21.64798516,-1.332698076,5
red,-5.10991009,4.042921054,6
red,30.12970239,-2.455591196,6
red,27.40193184,-4.205552127,6
red,-5.420476282,19.33890737,5
red,0.091239829,-1.023795426,5
red,-6.954643019,7.748336781,6
red,-22.57068668,4.230809977,6
red,34.45347494,-3.622860251,5
red,23.61151737,-0.924194141,6
red,20.77683073,-6.632892004,5
red,32.27674222,-3.076520454,5
red,28.38723146,-3.943106905,6
red,17.62633927,-6.296150495,6
red,25.3358672,-4.558443752,5
red,31.30763518,-3.262295857,8
red,30.32733473,-3.539508301,5
red,30.11226522,-2.563297694,5
red,24.47971019,-4.764830643,6
red,31.30809665,-3.308562729,5
red,34.45357389,-3.639940341,6
red,-23.74888191,14.23506203,7
red,21.64969309,-1.312422487,6
red,-10.65603705,5.908899416,6
red,22.2171185,0.900986958,7
red,20.04711106,1.455488688,7
red,-34.85241235,-0.415044002,6
red,-45.74506622,2.394324962,6
red,32.50366966,-4.062820066,8
red,9.060110645,0.024368596,6
red,-70.41043395,12.25096264,5
red,-33.21213198,15.28664373,7
red,24.48022335,-4.806530181,7
red,26.43343771,-4.377988058,7
red,21.66776108,-1.299078941,7
red,27.40939624,-4.16076144,7
red,35.21328316,-2.475704455,6
red,-16.93909348,6.547237842,6
red,2.282278577,7.651953578,7
red,3.110031296,3.74759801,5
red,-1.877101308,-1.418706698,6
red,33.27086827,-2.857437678,7
red,-105.6167943,-4.746677957,5
red,34.45930661,-3.65142278,6
red,32.48842795,-4.096238916,3
red,15.59317532,-1.639237835,6
red,-62.71461901,9.847467246,5
red,13.73943965,2.050405743,6
red,3.746065759,0.907426152,5
red,-90.80264143,11.8131245,5
red,-97.65372312,1.061873829,5
red,-69.03718871,-7.986725377,5
red,-8.800120202,11.40147652,5
red,-40.91622,8.518730387,6
red,-11.41744562,13.92985701,6
red,15.6738792,-6.749156024,5
red,21.63589403,-10.52393537,6
red,5.609946817,-2.856475014,5
red,13.76602565,2.076910149,6
red,15.14723767,0.308185324,6
red,35.42022912,-3.367085134,6
red,13.9431924,-8.168102483,7
red,31.5106499,-4.275371789,5
red,-1.018328762,3.92989971,5
red,31.49024923,-4.235418267,6
red,28.5860862,-4.910745626,5
red,-5.989906985,-1.293020173,6
red,33.27473318,-2.991797673,6
red,-62.50284779,8.804107307,5
red,19.68642628,-1.715666434,6
red,27.40421041,-4.163775461,6
red,-23.97789536,5.970445668,6
red,23.48497076,-5.011227156,6
red,22.82629533,-2.030875302,6
red,2.233031537,-1.498003849,6
red,3.210909356,-1.285828386,6
red,-51.44655748,5.218003411,5
red,24.60785085,-0.784019867,5
red,30.44141408,0.6171663,6
red,24.60842701,-0.786190738,5
red,2.027221391,-9.77130767,6
red,29.58661276,-4.745324835,5
red,-74.56817483,-6.133375733,5
red,-67.05650963,10.87733586,5
red,-14.78941044,6.054523884,6
red,33.45602503,-3.832911319,6
red,28.59032894,-4.907483048,6
red,4.085293049,4.120777894,6
red,10.92025479,-3.711453476,6
red,19.70479163,-1.760779194,5
red,0.289249146,-1.961648005,4
red,-31.27905125,-2.762566437,6
red,-1.7387915,11.89512208,6
red,34.23284034,-2.653748394,4
red,-63.08475021,-11.78194558,5
red,-61.8919665,-12.53846753,5
red,6.265842881,3.44991521,6
red,34.45977242,-3.689496378,5
red,33.47710748,-3.897254645,5
red,26.55145939,-0.304327064,7
red,-40.53430748,29.98445133,7
red,10.34935118,-5.817695372,6
red,-0.135598322,-0.00487332,7
red,-54.29878317,-9.820677205,5
red,-3.716758087,2.458892284,8
red,35.4269913,-3.413946705,7
red,-28.57088633,-1.113174088,5
red,-101.2584047,-15.00217919,6
red,5.251866667,-5.972030388,5
red,7.767942783,5.889449788,5
red,-63.75458214,0.380147931,5
red,24.47958868,-4.871452701,6
red,30.55636926,-4.537250509,6
red,18.81565091,-7.04484143,6
red,25.35652406,0.434350746,6
red,25.22069451,-3.578322262,4
red,12.44838624,-1.400557978,6
red,34.21295028,-2.614853273,5
red,-15.35764565,-5.357897762,6
red,24.45052556,-4.77974407,6
red,27.50664185,0.013028031,7
red,-7.187562699,8.733359631,6
red,-16.66424037,-8.727820338,6
red,7.874351727,0.877689598,6
red,-11.85730336,6.660051383,5
red,32.50646556,-4.140334487,5
red,16.98951098,5.887993492,6
red,18.71997796,-1.944511585,5
red,-53.54047345,-17.87317061,6
red,-26.16436853,6.566489223,5
red,18.84948529,2.106128421,6
red,31.7400046,-5.28052931,5
red,32.28303763,-3.125090429,5
red,-63.63954815,-13.93699962,5
red,-55.39779109,-14.16675216,5
red,16.01054221,-3.608061268,5
red,0.732249795,5.399655623,6
red,-12.00352922,2.612382232,5
red,33.45976801,-3.83481871,5
red,17.40354524,-5.317017586,6
red,-37.15295969,-4.001828599,5
red,29.56152879,-4.722152788,5
red,2.672091444,5.813489133,6
red,-37.15151112,-13.23857859,4
red,-60.31566416,17.50457043,5
red,11.80592951,10.84975671,5
red,-100.8134112,-7.830624974,5
red,-99.07519131,-6.422515619,5
red,25.21837082,-3.563330182,7
red,-11.84466644,6.671396156,6
red,6.688421266,1.507853046,5
red,-21.73125837,0.377477314,5
red,37.33605911,-2.921161628,7
red,28.34882946,-3.880086448,5
red,34.44612499,-3.581436848,4
red,19.69828612,-1.714305987,7
red,-100.5535342,-13.78481468,6
red,16.22783879,-4.597705341,5
red,-109.6884759,-4.647355039,5
red,-24.84497719,0.668400205,5
red,17.96966232,-3.125665398,6
red,19.35812519,-4.883439278,5
red,-6.872702718,2.623893422,5
red,3.256521888,7.875807423,7
red,28.57776462,-4.870845855,6
red,35.39795377,-3.330387301,4
red,4.939631989,0.145188848,5
red,20.88021855,-2.470523899,6
red,35.43087394,-3.419482848,6
red,-6.747473465,-2.517909356,5
red,-3.057827047,8.587189258,5
red,32.27116561,-3.059311744,6
red,33.26130367,-2.91340865,6
red,15.7034203,2.48682753,5
red,-1.219932773,14.17482719,5
red,35.41601625,-3.38865694,5
red,31.08938499,-2.353700512,6
red,16.34016101,-0.437381651,5
red,16.33329083,-0.42576671,5
red,-45.45277674,19.7558973,5
red,-2.962098101,3.464641928,5
red,6.923564465,0.449037845,5
red,17.4254924,3.925977002,6
red,-14.33500927,13.29261964,5
red,33.46722055,-3.786438299,5
red,-106.7694386,-4.029899929,5
red,7.319553153,-1.365881267,5
red,9.277581727,-0.965489517,5
red,39.53457481,-3.494413319,5
red,31.5078534,-4.247071378,5
red,34.42230337,-3.556924379,3
red,-44.2110111,-13.77322122,5
red,-14.80312056,-3.203288342,5
red,-74.47122605,-11.22425867,5
red,-78.04518583,-8.94118701,5
red,2.355747074,2.751598407,6
red,23.0424818,-3.011244942,6
red,-24.99868503,-3.40262952,5
red,29.58311193,-4.737230308,6
red,-42.33184722,0.942577107,6
red,24.77979944,-1.606297444,6
red,-37.58400257,-2.041210445,4
red,34.66194164,-4.596356038,4
red,-5.942946559,-6.328549163,5
red,28.47562835,0.237507486,5
red,9.605407893,2.226864666,5
red,12.64749985,-2.219213626,6
red,14.17788247,0.094554323,6
red,-37.34961491,-3.078838106,5
red,-63.63218008,-13.95034439,5
red,14.15516166,0.11535364,5
red,0.155734753,-6.028595414,5
red,-30.51815113,-1.561690329,5
red,13.17270632,-0.072497831,6
red,-1.251639546,-4.272276204,5
red,25.55147119,-0.443823001,5
red,1.56240092,1.479202861,5
red,-61.86008833,5.882995128,5
red,-0.921102729,-1.127893857,5
red,-82.58548283,2.383901427,5
red,36.38856789,-3.127232255,4
red,35.4162052,-3.386831457,5
red,-2.533432166,1.591222981,6
red,37.57310107,-3.89341995,5
red,-13.25997876,8.503595607,6
red,10.47715617,-1.741694654,5
red,34.65789713,-4.558098002,5
red,28.47384695,0.225694447,5
red,-24.57957171,-5.307065482,5
red,9.159559681,-5.064746512,5
red,25.33072848,0.545746595,5
red,-11.54622116,0.603276413,6
red,-58.40059294,-0.522793759,5
red,7.989641619,4.886033363,5
red,30.97477524,2.837895865,6
red,-92.57420419,-8.050784034,5
red,29.65983688,-0.523805134,5
red,-54.80550538,-2.852084654,5
red,-53.95065494,-6.753623327,5
red,19.25439141,0.242020057,6
red,-9.066268529,-6.020894665,6
red,-20.66413384,-4.484214524,5
red,16.32491531,-0.399555137,6
red,6.459968684,2.523278455,5
red,-20.43657546,3.77773505,5
red,14.92128097,1.31330849,6
red,-1.437760488,5.922793183,6
red,13.73297595,2.140575212,6
red,16.76062827,-2.369545634,5
red,-43.85017865,7.802811812,5
red,-54.3109981,-19.06391049,5
red,13.93707857,-8.141104294,5
red,28.91856937,-1.755188709,6
red,3.849670115,-4.212204662,6
red,-0.272533697,-4.097478695,6
red,-25.66440972,-9.682938343,5
red,-49.32125033,-13.83885661,5
red,-47.77847482,-2.229134337,6
red,16.42931909,-5.512385001,5
red,-95.40291725,-13.79903366,5
red,-96.37802028,-14.01652556,5
red,6.001496124,-13.95256039,6
red,4.80990745,-13.19139742,6
red,32.04340604,-2.046088478,5
red,1.122327622,-10.38436536,6
red,30.31062037,-3.444021958,6
red,14.47249945,-5.931945643,5
red,-45.18198695,-4.724930737,5
red,2.651832126,-3.409848192,6
